Type,Title,ISSN,eISSN,StartDate,EndDate,Resource,URL
Journal,ABN newswire,,,28/06/2011,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,About campus,1086-4822,1536-0687,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687
Journal,Above the Law (web site ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Abril (site ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Abstracta iranica,0240-8910,,1999,2007,Revues.org,http://rproxy.insa-rennes.fr/login?url=http://abstractairanica.revues.org
Journal,Academic emergency medicine,1069-6563,1553-2712,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712
Journal,Academic questions,0895-4852,1936-4709,01/03/1988,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=0895-4852&volume=
Journal,Academy of Bank Studies Journal,,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Acadie nouvelle,0829-1667,,01/07/1999,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,ACC current journal review,1062-1458,,1995,2005,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/10621458
Journal,"Access Networks & Workshops, AccessNets International Conference on",,,2007,2007,IEEE/IET Electronic Library (IEL),http://rproxy.insa-rennes.fr/login?url=http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1002499
Journal,Accesswire (Canada),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accident analysis and prevention,0001-4575,1879-2057,1995,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/00014575
Journal,Accident and emergency nursing,0965-2302,1532-9267,1995,2007,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/09652302
Journal,"Accommodation times (Mumbai, India)",,,01/02/2013,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accord fintech,,,05/06/2010,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accountancy age,0001-4672,,13/07/2012,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accounting and finance (Parkville),0810-5391,1467-629X,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X
Journal,Accounting forum,0155-9982,1467-6303,2004,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/01559982
Journal,"Accounting, management, and information technologies",0959-8022,1873-7595,1995,2000,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/09598022
Journal,"Accounting, organizations and society",0361-3682,1873-6289,1995,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/03613682
Journal,Accounting perspectives,1911-382X,1911-3838,2010,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838
Journal,Accounting today,1044-5714,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accounting Today (web site),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,Accounts of chemical research,0001-4842,1520-4898,01/01/1996,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/journals/achre4/index.html
Journal,Accreditation and quality assurance,0949-1775,1432-0517,25/01/1996,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=0949-1775&volume=
Journal,ACE Update Magazine,,,02/04/2013,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,ACE. Proceedings of [Annual Convention and Exhibition of the IEEE In India],,,1990,1990,IEEE/IET Electronic Library (IEL),http://rproxy.insa-rennes.fr/login?url=http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1002349
Journal,ACOG clinical review,1085-6862,1873-4383,1996,2003,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/10856862
Journal,Acontecer (sitio web ref.),,,,,Europresse.com,http://rproxy.insa-rennes.fr/login?url=http://rproxy.insa-rennes.fr/login?url=http://www.bpe.europresse.com/ip/intro.asp?user=INSAT_1
Journal,"Acoustics, Speech, and Signal Processing (ICASSP), International Conference on",1520-6149,,1976,,IEEE/IET Electronic Library (IEL),http://rproxy.insa-rennes.fr/login?url=http://ieeexplore.ieee.org/xpl/conhome.jsp?punumber=1000002
Journal,Acquisition et interaction en langue étrangère : Aile,,,1992,2009,Revues.org,http://rproxy.insa-rennes.fr/login?url=http://aile.revues.org
Journal,ACS applied materials & interfaces,1944-8244,1944-8252,01/01/2009,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/journal/aamick/index.html
Journal,ACS catalysis,,2155-5435,07/01/2011,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/accacs
Journal,ACS chemical biology,1554-8929,1554-8937,01/01/2006,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/journals/acbcct/index.html
Journal,ACS chemical neuroscience,,1948-7193,20/01/2012,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/acncdm
Journal,ACS combinatorial science,2156-8952,2156-8944,01/01/1999,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/acscc
Journal,ACS macro letters,,2161-1653,17/01/2012,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/amlccd
Journal,ACS medicinal chemistry letters,,1948-5875,08/04/2010,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/amclct
Journal,ACS nano,1936-0851,1936-086X,01/01/2007,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/page/ancac3/index.html
Journal,ACS synthetic biology,,2161-5063,20/01/2012,,ACS Journals - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://pubs.acs.org/loi/asbcd6
Journal,Acta Academiae Medicinae Wuhan,0253-3316,,01/03/1981,1985,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=1672-0733&volume=
Journal,Acta agronomica Sinica,,1875-2780,2008,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/18752780
Journal,Acta anaesthesiologica Scandinavica,0001-5172,1399-6576,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576
Journal,Acta anaesthesiologica Taiwanica,1875-4597,1875-452X,2008,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/18754597
Journal,Acta applicandae mathematicae,0167-8019,1572-9036,01/03/1983,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=0167-8019&volume=
Journal,Acta archaeologica,0065-101X,,2000,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390
Journal,Acta astronautica,0094-5765,,1995,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/00945765
Journal,Acta biomaterialia,1742-7061,1878-7568,2005,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/17427061
Journal,Acta biotheoretica,0001-5342,1572-8358,11/12/1935,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=0001-5342&volume=
Journal,Acta Chirurgica Austriaca,0001-544X,1563-2563,01/01/1969,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=1682-8631&volume=
Journal,"Acta crystallographica. Section A, Foundations of crystallography",0108-7673,1600-5724,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724
Journal,"Acta crystallographica. Section B, Structural science",0108-7681,1600-5740,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5740
Journal,"Acta crystallographica. Section C, Crystal structure communications",0108-2701,1600-5759,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5759
Journal,"Acta crystallographica. Section D, Biological crystallography.",0907-4449,1399-0047,1997,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047
Journal,"Acta crystallographica. Section E, Structure reports online",,1600-5368,2001,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5368
Journal,"Acta crystallographica. Section F, Structural biology and crystallization communications",,1744-3091,2005,,Wiley-Blackwell - Couperin 2012,http://rproxy.insa-rennes.fr/login?url=http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091
Journal,Acta diabetologica,0940-5429,1432-5233,01/01/1964,31/12/1996,Springer Journal Archives (Licence Nationale France),http://rproxy.insa-rennes.fr/login?url=http://link.springer.com/openurl?genre=journal&issn=0940-5429&volume=
Journal,Acta ecologica Sinica,,1872-2032,2006,,ScienceDirect - COUPERIN,http://rproxy.insa-rennes.fr/login?url=http://www.sciencedirect.com/science/journal/18722032
